Url,Season_End_Year,Squad,Player,Comp,Pos,Age,Min_Playing,G_minus_PK_Per,npxG_Per,xAG_Per,Cmp_percent_Total,CrsPA,Final_Third,KP,Prog,Blocks_Blocks,Clr,Err,Int,Mid 3rd_Tackles,Tkl+Int,TklW_Tackles,Att Pen_Touches,Final_Third_Carries,Mis_Carries,Prog_Carries,Prog_Receiving,Succ_Dribbles,Recov,Won_Aerial,Won_percent_Aerial,GCA90_GCA,SCA90_SCA,prim_pos,season_total_min,n_clubs,role,tier,role_source,market_value_eur
https://fbref.com/en/players/7ef972c3/Flavius-Daniliuc,2021,Nice,Flavius Daniliuc,Ligue 1,DF,19.0,1477.0,0.06,0.04,0.02,88.2,2.0,91.0,3.0,74.0,20.0,47.0,1.0,19.0,7.0,48.0,12.0,13.0,8.0,5.0,95.0,4.0,3.0,139.0,21.0,46.7,0.0,0.85,DF,1477.0,1,center_back,C,tm,8000000.0
https://fbref.com/en/players/7ef972c3/Flavius-Daniliuc,2022,Nice,Flavius Daniliuc,Ligue 1,DF,20.0,1293.0,0.0,0.02,0.01,89.5,3.0,39.0,3.0,46.0,31.0,41.0,0.0,24.0,12.0,71.0,27.0,8.0,5.0,7.0,42.0,9.0,8.0,139.0,25.0,52.1,0.0,0.56,DF,1293.0,1,center_back,C,tm,8000000.0
https://fbref.com/en/players/7ef972c3/Flavius-Daniliuc,2023,Salernitana,Flavius Daniliuc,Serie A,DF,21.0,665.0,0.0,0.04,0.01,86.8,0.0,20.0,1.0,21.0,9.0,29.0,0.0,7.0,4.0,23.0,9.0,3.0,,,,1.0,1.0,37.0,16.0,76.2,0.0,0.78,DF,756.0,2,center_back,C,tm,8000000.0
https://fbref.com/en/players/828657ff/Amadou-Onana,2022,Lille,Amadou Onana,Ligue 1,MF,19.0,1359.0,0.07,0.16,0.08,83.8,0.0,60.0,14.0,48.0,13.0,24.0,0.0,34.0,26.0,86.0,33.0,20.0,12.0,16.0,48.0,30.0,11.0,135.0,25.0,58.1,0.07,2.05,MF,1359.0,1,defensive_mid,C,tm,55000000.0
https://fbref.com/en/players/828657ff/Amadou-Onana,2023,Everton,Amadou Onana,Premier League,MF,21.0,901.0,0.0,0.16,0.09,78.1,0.0,24.0,5.0,15.0,9.0,18.0,0.0,9.0,18.0,40.0,24.0,18.0,,,,12.0,6.0,44.0,19.0,46.3,0.11,0.89,MF,901.0,1,defensive_mid,C,tm,55000000.0
https://fbref.com/en/players/8455ad90/Lee-Kangin,2021,Valencia,Lee Kangin,La Liga,"FW,MF",19.0,1262.0,0.0,0.08,0.18,81.1,1.0,47.0,20.0,63.0,10.0,1.0,0.0,2.0,5.0,20.0,13.0,20.0,28.0,22.0,85.0,48.0,38.0,77.0,8.0,22.2,0.36,3.42,FW,1262.0,1,wide_attacker,C,fbref,
https://fbref.com/en/players/8455ad90/Lee-Kangin,2022,Mallorca,Lee Kangin,La Liga,"MF,FW",20.0,1411.0,0.06,0.1,0.17,72.1,2.0,27.0,23.0,40.0,15.0,6.0,0.0,13.0,6.0,25.0,7.0,28.0,18.0,36.0,59.0,50.0,35.0,92.0,13.0,22.4,0.19,3.06,MF,1411.0,1,wide_attacker,C,fbref,
https://fbref.com/en/players/8455ad90/Lee-Kangin,2023,Mallorca,Lee Kangin,La Liga,"MF,FW",21.0,948.0,0.19,0.12,0.2,69.7,3.0,25.0,19.0,21.0,6.0,2.0,0.0,1.0,8.0,14.0,8.0,15.0,,,,33.0,20.0,25.0,3.0,14.3,0.31,3.76,MF,948.0,1,wide_attacker,C,fbref,
https://fbref.com/en/players/86383d0e/Martin-Satriano,2022,Brest,Martin Satriano,Ligue 1,FW,20.0,932.0,0.39,0.33,0.02,74.4,0.0,2.0,3.0,7.0,6.0,1.0,0.0,7.0,1.0,11.0,3.0,34.0,4.0,26.0,11.0,48.0,9.0,44.0,19.0,29.7,0.0,0.48,FW,970.0,2,striker,C,tm,8000000.0
https://fbref.com/en/players/86383d0e/Martin-Satriano,2023,Empoli,Martin Satriano,Serie A,FW,21.0,651.0,0.14,0.27,0.06,69.1,1.0,5.0,5.0,5.0,4.0,6.0,0.0,1.0,2.0,5.0,2.0,25.0,,,,42.0,6.0,22.0,18.0,43.9,0.14,1.52,FW,651.0,1,striker,C,tm,8000000.0
