Url,Season_End_Year,Squad,Player,Comp,Pos,Age,Min_Playing,G_minus_PK_Per,npxG_Per,xAG_Per,Cmp_percent_Total,CrsPA,Final_Third,KP,Prog,Blocks_Blocks,Clr,Err,Int,Mid 3rd_Tackles,Tkl+Int,TklW_Tackles,Att Pen_Touches,Final_Third_Carries,Mis_Carries,Prog_Carries,Prog_Receiving,Succ_Dribbles,Recov,Won_Aerial,Won_percent_Aerial,GCA90_GCA,SCA90_SCA,prim_pos,season_total_min,n_clubs,role,tier,role_source,market_value_eur
https://fbref.com/en/players/2f9e4435/Dango-Ouattara,2022,Lorient,Dango Ouattara,Ligue 1,"MF,FW",19.0,812.0,0.11,0.32,0.18,63.3,2.0,7.0,7.0,18.0,15.0,11.0,1.0,16.0,16.0,42.0,10.0,46.0,8.0,23.0,38.0,61.0,13.0,71.0,18.0,47.4,0.11,2.33,MF,812.0,1,wide_attacker,B,tm,35000000.0
https://fbref.com/en/players/2f9e4435/Dango-Ouattara,2023,Lorient,Dango Ouattara,Ligue 1,"MF,FW",20.0,1013.0,0.44,0.37,0.21,59.3,2.0,13.0,14.0,21.0,15.0,10.0,0.0,13.0,2.0,32.0,12.0,53.0,,,,64.0,17.0,57.0,15.0,41.7,1.07,4.1,MF,1013.0,1,wide_attacker,B,tm,35000000.0
https://fbref.com/en/players/30c220c3/Mitchell-Weiser,2021,Leverkusen,Mitchell Weiser,Bundesliga,DF,26.0,226.0,0.4,0.04,0.0,84.3,0.0,18.0,0.0,13.0,2.0,8.0,0.0,2.0,2.0,6.0,2.0,11.0,4.0,4.0,19.0,3.0,2.0,26.0,3.0,50.0,0.4,0.8,DF,226.0,1,full_back,B,tm,14000000.0
https://fbref.com/en/players/30c220c3/Mitchell-Weiser,2023,Werder Bremen,Mitchell Weiser,Bundesliga,"DF,FW",28.0,1017.0,0.09,0.11,0.16,72.5,3.0,32.0,13.0,35.0,16.0,12.0,0.0,13.0,11.0,41.0,19.0,22.0,,,,50.0,15.0,73.0,11.0,57.9,0.67,2.5,DF,1017.0,1,full_back,B,tm,14000000.0
https://fbref.com/en/players/30d4a2e5/Vitaliy-Mykolenko,2022,Everton,Vitaliy Mykolenko,Premier League,DF,22.0,1055.0,0.09,0.06,0.08,70.3,5.0,19.0,8.0,23.0,34.0,31.0,1.0,25.0,9.0,53.0,14.0,14.0,5.0,6.0,16.0,11.0,5.0,101.0,13.0,43.3,0.26,1.19,DF,1055.0,1,full_back,B,tm,28000000.0
https://fbref.com/en/players/30d4a2e5/Vitaliy-Mykolenko,2023,Everton,Vitaliy Mykolenko,Premier League,"DF,MF",23.0,1165.0,0.0,0.03,0.03,75.8,4.0,38.0,8.0,29.0,24.0,27.0,0.0,20.0,7.0,40.0,10.0,7.0,,,,8.0,3.0,59.0,9.0,33.3,0.08,1.76,DF,1165.0,1,full_back,B,tm,28000000.0
https://fbref.com/en/players/313254a3/Kiliann-Sildillia,2022,Freiburg,Kiliann Sildillia,Bundesliga,"DF,MF",19.0,169.0,0.0,0.0,0.17,64.1,1.0,1.0,2.0,5.0,5.0,12.0,0.0,3.0,3.0,8.0,3.0,1.0,2.0,0.0,6.0,0.0,0.0,26.0,1.0,16.7,0.53,2.13,DF,169.0,1,full_back,B,tm,18000000.0
https://fbref.com/en/players/313254a3/Kiliann-Sildillia,2023,Freiburg,Kiliann Sildillia,Bundesliga,DF,20.0,979.0,0.0,0.03,0.06,66.7,2.0,26.0,5.0,27.0,10.0,15.0,1.0,12.0,9.0,26.0,8.0,11.0,,,,15.0,7.0,46.0,18.0,43.9,0.46,1.66,DF,979.0,1,full_back,B,tm,18000000.0
https://fbref.com/en/players/31822f8c/Folarin-Balogun,2022,Arsenal,Folarin Balogun,Premier League,FW,20.0,70.0,0.0,0.44,0.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,1.0,7.0,0.0,3.0,1.0,33.3,0.0,0.0,FW,70.0,1,striker,B,tm,30000000.0
https://fbref.com/en/players/31822f8c/Folarin-Balogun,2023,Reims,Folarin Balogun,Ligue 1,FW,21.0,956.0,0.47,0.47,0.08,63.9,0.0,11.0,8.0,16.0,7.0,7.0,0.0,0.0,2.0,2.0,2.0,47.0,,,,78.0,8.0,38.0,6.0,23.1,0.41,1.76,FW,956.0,1,striker,B,tm,30000000.0
